[[0, 1, 2, 4], [5, 6, 3, 8], [9, 10, 7, 12], [13, 14, 11, 15]]
[[1, 2, 3, 4], [5, 0, 6, 8], [9, 10, 7, 11], [13, 14, 15, 12]]
[[1, 0, 3, 4], [9, 2, 7, 8], [6, 5, 10, 12], [13, 14, 11, 15]]
[[5, 1, 2, 3], [0, 6, 7, 4], [9, 10, 11, 8], [13, 14, 15, 12]]
[[1, 3, 0, 4], [5, 2, 6, 7], [9, 10, 11, 8], [13, 14, 15, 12]]
[[1, 2, 3, 0], [5, 6, 7, 4], [9, 10, 12, 8], [13, 14, 11, 15]]
[[1, 2, 3, 4], [5, 10, 6, 8], [9, 14, 7, 11], [13, 0, 15, 12]]
[[1, 2, 3, 4], [5, 6, 7, 8], [9, 10, 15, 11], [0, 13, 14, 12]]
[[1, 2, 3, 4], [5, 6, 0, 7], [9, 14, 10, 8], [13, 15, 12, 11]]
[[1, 2, 3, 0], [5, 6, 8, 4], [9, 14, 7, 11], [13, 15, 10, 12]]
[[1, 2, 3, 4], [5, 6, 7, 0], [9, 10, 11, 8], [13, 14, 15, 12]]
[[1, 2, 3, 4], [5, 6, 7, 8], [9, 10, 0, 11], [13, 14, 15, 12]]
[[1, 2, 3, 4], [5, 6, 7, 8], [9, 10, 15, 0], [13, 14, 12, 11]]
[[1, 2, 3, 4], [5, 6, 7, 8], [9, 0, 15, 11], [13, 10, 14, 12]]
[[6, 0, 2, 3], [1, 10, 7, 4], [5, 9, 11, 8], [13, 14, 15, 12]]
[[1, 2, 3, 4], [5, 6, 7, 8], [9, 10, 0, 15], [13, 14, 12, 11]]
[[5, 1, 2, 4], [0, 6, 3, 7], [9, 10, 11, 8], [13, 14, 15, 12]]
[[1, 2, 3, 4], [5, 6, 7, 8], [9, 0, 15, 11], [13, 10, 14, 12]]
[[1, 2, 3, 4], [5, 6, 7, 8], [0, 9, 14, 11], [13, 15, 10, 12]]
[[1, 2, 3, 0], [5, 6, 7, 4], [9, 10, 12, 8], [13, 14, 11, 15]]
[[1, 2, 3, 4], [5, 6, 7, 0], [9, 10, 11, 8], [13, 14, 15, 12]]
[[1, 2, 3, 4], [5, 10, 6, 7], [9, 0, 11, 8], [13, 14, 15, 12]]
[[1, 2, 4, 0], [5, 7, 3, 8], [9, 6, 10, 12], [13, 14, 11, 15]]
[[1, 2, 3, 4], [5, 6, 7, 8], [9, 10, 15, 11], [13, 14, 0, 12]]
[[1, 2, 3, 4], [5, 0, 7, 8], [9, 6, 15, 11], [13, 10, 14, 12]]
[[2, 5, 3, 4], [1, 0, 7, 8], [9, 6, 11, 12], [13, 10, 14, 15]]
[[1, 2, 3, 4], [5, 6, 7, 8], [14, 10, 0, 11], [9, 13, 15, 12]]
[[1, 0, 3, 4], [5, 2, 7, 8], [10, 6, 11, 12], [9, 13, 14, 15]]
[[1, 2, 3, 4], [0, 10, 6, 8], [5, 9, 7, 12], [13, 14, 11, 15]]
[[1, 2, 3, 4], [0, 6, 11, 7], [5, 10, 15, 8], [9, 13, 14, 12]]
[[0, 2, 3, 4], [1, 5, 8, 11], [9, 6, 10, 7], [13, 14, 15, 12]]
[[1, 2, 3, 4], [5, 6, 7, 8], [9, 11, 12, 0], [13, 10, 14, 15]]
[[1, 6, 2, 4], [9, 5, 3, 7], [13, 10, 8, 0], [14, 15, 11, 12]]
[[1, 2, 3, 4], [5, 6, 7, 8], [9, 10, 11, 0], [13, 14, 15, 12]]
[[1, 2, 3, 4], [5, 6, 7, 8], [9, 10, 15, 11], [13, 14, 0, 12]]
[[1, 2, 7, 3], [5, 6, 0, 4], [9, 10, 11, 8], [13, 14, 15, 12]]
[[1, 2, 0, 4], [5, 6, 3, 7], [9, 10, 11, 8], [13, 14, 15, 12]]
[[1, 2, 3, 4], [5, 6, 7, 8], [9, 11, 14, 12], [13, 0, 10, 15]]
[[1, 2, 3, 4], [5, 6, 7, 8], [14, 13, 10, 11], [9, 0, 15, 12]]
[[1, 2, 3, 4], [5, 6, 8, 11], [9, 10, 15, 7], [13, 14, 12, 0]]
[[1, 2, 3, 4], [5, 6, 7, 8], [0, 10, 11, 12], [9, 13, 14, 15]]
[[1, 2, 3, 4], [5, 6, 7, 8], [9, 10, 11, 12], [13, 14, 15, 0]]
[[1, 2, 3, 4], [9, 5, 7, 8], [13, 6, 10, 11], [14, 0, 15, 12]]
[[1, 3, 7, 4], [0, 5, 2, 8], [9, 6, 11, 12], [13, 10, 14, 15]]
[[1, 2, 3, 4], [5, 6, 7, 8], [9, 0, 10, 11], [13, 14, 15, 12]]
[[1, 2, 3, 0], [5, 6, 7, 4], [9, 10, 11, 8], [13, 14, 15, 12]]
[[1, 0, 2, 4], [5, 6, 3, 7], [9, 10, 11, 8], [13, 14, 15, 12]]
[[6, 1, 3, 4], [0, 2, 7, 8], [5, 9, 10, 11], [13, 14, 15, 12]]
[[1, 2, 3, 4], [5, 6, 7, 8], [9, 14, 12, 0], [13, 11, 10, 15]]
[[1, 2, 4, 8], [5, 6, 3, 0], [9, 10, 7, 11], [13, 14, 15, 12]]
[[1, 2, 3, 4], [0, 5, 6, 8], [9, 10, 7, 11], [13, 14, 15, 12]]
[[1, 2, 3, 4], [5, 0, 7, 8], [9, 6, 10, 12], [13, 14, 11, 15]]
[[1, 2, 3, 4], [5, 6, 7, 8], [0, 9, 10, 12], [13, 14, 11, 15]]
[[1, 2, 3, 4], [5, 7, 10, 8], [9, 6, 15, 11], [13, 14, 0, 12]]
[[2, 6, 3, 4], [1, 9, 7, 8], [5, 0, 11, 12], [13, 10, 14, 15]]
[[5, 1, 3, 4], [2, 10, 6, 8], [9, 14, 7, 12], [0, 13, 11, 15]]
[[1, 2, 3, 4], [5, 6, 7, 8], [13, 9, 0, 12], [10, 14, 11, 15]]
[[1, 2, 3, 4], [5, 6, 7, 8], [9, 10, 11, 12], [13, 14, 15, 0]]
[[1, 7, 2, 4], [5, 0, 3, 8], [9, 6, 10, 15], [13, 14, 12, 11]]
[[1, 2, 3, 4], [5, 6, 7, 8], [9, 10, 0, 12], [13, 14, 11, 15]]
[[1, 2, 3, 4], [5, 6, 7, 0], [9, 10, 11, 8], [13, 14, 15, 12]]
[[1, 2, 3, 4], [5, 6, 7, 8], [9, 10, 11, 12], [0, 13, 14, 15]]
[[0, 2, 3, 4], [1, 5, 7, 8], [9, 6, 11, 12], [13, 10, 14, 15]]
[[1, 2, 3, 4], [5, 10, 6, 7], [9, 14, 11, 8], [13, 0, 15, 12]]
[[1, 2, 7, 3], [5, 6, 0, 4], [9, 10, 11, 8], [13, 14, 15, 12]]
[[1, 6, 2, 4], [0, 10, 3, 7], [5, 9, 11, 8], [13, 14, 15, 12]]
[[1, 2, 3, 4], [9, 5, 6, 7], [0, 10, 11, 8], [13, 14, 15, 12]]
[[1, 2, 3, 4], [5, 6, 11, 7], [9, 10, 8, 12], [13, 14, 0, 15]]
[[0, 2, 3, 4], [1, 6, 7, 8], [5, 9, 10, 11], [13, 14, 15, 12]]
[[1, 2, 3, 4], [5, 6, 8, 12], [9, 11, 14, 7], [13, 10, 0, 15]]
[[1, 2, 3, 4], [5, 15, 0, 7], [9, 6, 10, 8], [13, 14, 12, 11]]
[[1, 3, 0, 4], [5, 2, 7, 8], [9, 6, 11, 12], [13, 10, 14, 15]]
[[1, 2, 3, 4], [10, 0, 6, 8], [5, 9, 7, 12], [13, 14, 11, 15]]
[[1, 2, 3, 4], [6, 9, 7, 8], [5, 14, 10, 11], [13, 0, 15, 12]]
[[1, 2, 3, 4], [9, 5, 6, 7], [13, 10, 12, 8], [0, 14, 11, 15]]
[[1, 2, 0, 4], [5, 6, 3, 8], [9, 10, 7, 11], [13, 14, 15, 12]]
[[1, 2, 3, 4], [5, 6, 7, 8], [9, 10, 11, 12], [13, 14, 0, 15]]
